"";"full_id";"gender";"stadi1";"stadi5";"stadi9";"stadi13";"stadi17";"aqf1";"aqf2";"aqf3";"aqf4";"aqf5";"aqf6";"aqf7";"aqf8";"apq26";"apq28";"apq35";"apq40";"apq40.r";"emotionality";"hostility";"punishment";"emotionality_z";"hostility_z"
"378";2086;"Weiblich";3;3;4;2;2;2;2;2;2;3;2;3;2;1;1;1;4;2;"2.8";"2.25";"1.25";1,11098183122199;0,15052066254986
"379";2087;"Weiblich";2;2;2;2;3;2;3;2;2;3;3;2;2;2;1;1;5;1;"2.2";"2.375";"1.25";0,0981600998769604;0,347692723250195
"380";2088;"Weiblich";3;2;2;1;2;1;3;1;1;1;2;1;1;1;1;1;5;1;"2";"1.375";"1";-0,239447143904715;-1,22968376235249
"381";2089;"Männlich";3;3;2;3;3;1;2;3;3;3;3;3;3;1;3;2;3;3;"2.8";"2.625";"2.25";1,11098183122199;0,742036844650865
"382";2090;"Männlich";3;3;3;3;4;2;4;3;3;1;4;1;3;1;1;2;2;4;"3.2";"2.625";"2";1,78619631878534;0,742036844650865
"383";2091;"Männlich";3;3;1;1;1;1;4;3;1;3;3;3;1;1;1;1;5;1;"1.8";"2.375";"1";-0,57705438768639;0,347692723250195
"384";2092;"Männlich";3;3;2;2;4;2;2;1;1;4;1;4;1;3;3;3;3;3;"2.8";"2";"3";1,11098183122199;-0,24382345885081
"385";2093;"Männlich";4;4;3;1;2;1;3;2;4;4;3;4;1;1;1;1;2;4;"2.8";"2.75";"1.75";1,11098183122199;0,9392089053512
"386";2094;"Männlich";2;2;3;2;2;4;1;2;3;3;2;2;3;3;4;3;3;3;"2.2";"2.5";"3.25";0,0981600998769604;0,54486478395053
"387";2095;"Männlich";2;2;2;2;2;3;3;3;4;3;3;3;3;3;2;2;4;2;"2";"3.125";"2.25";-0,239447143904715;1,53072508745221
"388";2096;"Männlich";4;4;2;4;3;4;4;3;4;4;3;4;4;5;5;4;5;1;"3.4";"3.75";"3.75";2,12380356256701;2,51658539095388
"389";2097;"Männlich";2;2;1;2;2;2;2;3;2;3;2;3;2;2;1;2;4;2;"1.8";"2.375";"1.75";-0,57705438768639;0,347692723250195
"390";2098;"Männlich";2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;5;1;"2";"1";"1";-0,239447143904715;-1,82119994445349
"391";2099;"Weiblich";2;2;2;1;2;1;2;1;1;3;1;1;1;2;2;2;4;2;"1.8";"1.375";"2";-0,57705438768639;-1,22968376235249
"392";2100;"Weiblich";2;2;2;2;2;3;3;3;3;3;3;4;1;1;1;1;5;1;"2";"2.875";"1";-0,239447143904715;1,13638096605154
"393";2101;"Männlich";2;2;1;2;1;2;2;3;1;3;2;2;1;1;1;3;5;1;"1.6";"2";"1.5";-0,914661631468065;-0,24382345885081
"394";2102;"Männlich";2;3;2;2;1;2;3;1;1;3;1;3;1;1;3;3;2;4;"2";"1.875";"2.75";-0,239447143904715;-0,440995519551146
"395";2103;"Männlich";3;4;1;4;2;3;2;2;2;3;2;4;2;2;2;3;5;1;"2.8";"2.5";"2";1,11098183122199;0,54486478395053
"396";2104;"Weiblich";2;2;2;3;4;1;1;3;2;3;4;3;3;4;4;3;1;5;"2.6";"2.5";"4";0,77337458744031;0,54486478395053
"397";2105;"Männlich";1;3;3;2;3;2;2;3;2;3;2;3;4;3;3;4;4;2;"2.4";"2.625";"3";0,435767343658635;0,742036844650865
"398";2106;"Weiblich";2;2;2;2;3;3;3;2;4;3;3;3;2;1;1;3;5;1;"2.2";"2.875";"1.5";0,0981600998769604;1,13638096605154
"399";2107;"Männlich";1;2;1;1;2;2;2;2;2;4;4;3;1;1;1;1;5;1;"1.4";"2.5";"1";-1,25226887524974;0,54486478395053
"400";2108;"Männlich";2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;2;5;1;"1.6";"1";"1.25";-0,914661631468065;-1,82119994445349
"401";2109;"Weiblich";2;1;1;1;2;2;1;1;1;1;2;1;1;1;1;1;5;1;"1.4";"1.25";"1";-1,25226887524974;-1,42685582305282
"402";2110;"Männlich";2;2;2;1;2;1;2;2;2;3;3;4;3;1;1;1;4;2;"1.8";"2.5";"1.25";-0,57705438768639;0,54486478395053
"403";2111;"Weiblich";2;2;2;1;2;1;4;2;1;3;1;4;1;1;1;2;5;1;"1.8";"2.125";"1.25";-0,57705438768639;-0,0466513981504753
"404";2112;"Männlich";1;1;1;2;1;1;3;4;1;2;3;3;2;1;1;2;4;2;"1.2";"2.375";"1.5";-1,58987611903142;0,347692723250195
"405";2115;"Männlich";1;2;2;2;2;1;1;1;1;2;2;2;1;1;1;1;5;1;"1.8";"1.375";"1";-0,57705438768639;-1,22968376235249
"406";2116;"Männlich";2;3;2;2;3;1;3;1;3;4;1;2;1;1;1;1;1;5;"2.4";"2";"2";0,435767343658635;-0,24382345885081
"407";2117;"Männlich";2;1;3;2;2;1;2;3;2;2;3;3;1;4;4;2;4;2;"2";"2.125";"3";-0,239447143904715;-0,0466513981504753
"408";2119;"Männlich";2;2;1;1;1;1;3;3;1;4;1;4;1;1;1;1;4;2;"1.4";"2.25";"1.25";-1,25226887524974;0,15052066254986
"409";2120;"Männlich";1;1;2;1;3;3;2;2;3;2;2;4;3;1;2;4;3;3;"1.6";"2.625";"2.5";-0,914661631468065;0,742036844650865
"410";2121;"Männlich";4;3;3;3;3;2;3;3;2;1;2;3;2;1;1;1;5;1;"3.2";"2.25";"1";1,78619631878534;0,15052066254986
"411";2122;"Männlich";4;1;1;1;1;2;3;1;1;1;1;1;1;1;2;5;5;1;"1.6";"1.375";"2.25";-0,914661631468065;-1,22968376235249
